公司名称 公司规模 岗位 公司位置 年薪 经验要求 basic ID
软通动力 IT技术服务｜咨询,不需要融资,2000人以上 python开发工程师 南京·大学城 10k-17k 经验1-3年,本科 python开发工程师,南京·大学城 156
指南车数据 数据服务｜咨询,软件服务｜咨询,未融资,15-50人 python开发工程师 上海·嘉定区 15k-30k 经验1-3年,本科 python开发工程师,上海·嘉定区 157
中软国际科技服务有限公司 IT技术服务｜咨询,上市公司,2000人以上 python开发工程师 武汉·洪山区 10k-15k 经验1-3年,本科 python开发工程师,武汉·洪山区 158
优解未来 软件服务｜咨询,人工智能服务,物联网,天使轮,15-50人 python开发工程师 北京·大兴区 20k-40k 经验5-10年,本科 python开发工程师,北京·大兴区 159
外企德科人力资源服务 企业服务,未融资,2000人以上 python开发工程师 西安·高新技术产业开发区 20k-30k 经验不限,本科 python开发工程师,西安·高新技术产业开发区 160
科锐尔人力资源服务 企业服务,上市公司,2000人以上 python开发工程师 南昌·青山湖区 30k-50k 经验5-10年,本科 python开发工程师,南昌·青山湖区 161
艾利安人才服务（上海）有限公司 专业服务｜咨询,不需要融资,2000人以上 python开发工程师 上海·北新泾 20k-27k 经验3-5年,本科 python开发工程师,上海·北新泾 162
弘博康咨询管理 软件服务｜咨询,未融资,50-150人 python开发工程师 上海·张江 15k-25k 经验3-5年,本科 python开发工程师,上海·张江 163
新蓝途 专业服务｜咨询,不需要融资,少于15人 python开发工程师 北京·五道口 15k-23k 经验1-3年,本科 python开发工程师,北京·五道口 164
艾利安人才服务（上海）有限公司 专业服务｜咨询,不需要融资,2000人以上 python开发工程师 深圳·蛇口 20k-30k 经验3-5年,本科 python开发工程师,深圳·蛇口 165
科锐国际 专业服务｜咨询,上市公司,2000人以上 python开发工程师 武汉·东西湖区 20k-40k 经验不限,本科 python开发工程师,武汉·东西湖区 166
科锐国际人力资源 工具类产品,上市公司,2000人以上 python开发工程师 南京·宁南 15k-30k 经验3-5年,本科 python开发工程师,南京·宁南 167
科锐国际 专业服务｜咨询,上市公司,2000人以上 python开发工程师 武汉·东西湖区 20k-40k 经验1-3年,本科 python开发工程师,武汉·东西湖区 168
科锐国际人力资源 其他,上市公司,2000人以上 python开发工程师 西安·雁塔区 13k-22k 经验1-3年,本科 python开发工程师,西安·雁塔区 169
科锐国际 专业服务｜咨询,MCN｜直播平台,上市公司,2000人以上 python开发工程师 深圳·坂田 15k-30k 经验3-5年,本科 python开发工程师,深圳·坂田 170
科锐福克斯 专业服务｜咨询,不需要融资,150-500人 python开发工程师 北京·五道口 40k-60k 经验5-10年,本科 python开发工程师,北京·五道口 171
外企德科人力资源服务 企业服务,未融资,2000人以上 python开发工程师 深圳·坂田 17k-34k 经验5-10年,本科 python开发工程师,深圳·坂田 172
科锐国际 专业服务｜咨询,MCN｜直播平台,上市公司,2000人以上 python开发工程师 深圳·坂田 20k-35k 经验3-5年,本科 python开发工程师,深圳·坂田 173
博猎企业管理咨询 服务业,B轮,50-150人 python开发工程师 苏州·虎丘区 15k-30k 经验3-5年,本科 python开发工程师,苏州·虎丘区 174
科锐国际 专业服务｜咨询,上市公司,2000人以上 python开发工程师 深圳·坂田 21k-25k 经验1-3年,本科 python开发工程师,深圳·坂田 175
